Unnamed: 0,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,MathScore,ReadingScore,WritingScore
0,0,********,1,1,1,1,1,1,3.0,1,1,71,71,74
1,0,********,4,1,2,1,2,1,0.0,2,0,69,90,88
2,0,********,3,1,1,2,2,1,4.0,1,1,87,93,91
3,1,********,0,0,1,1,0,0,1.0,2,0,45,56,42
4,1,********,4,1,1,1,2,1,0.0,1,0,76,78,75
5,0,********,0,1,1,1,1,1,1.0,1,0,73,84,79
6,0,********,4,1,0,3,0,0,1.0,0,0,85,93,89
7,1,********,4,0,1,1,2,1,1.0,0,2,41,43,39
8,1,********,2,0,0,2,2,0,3.0,0,2,65,64,68
9,0,********,2,0,1,1,1,1,2.1458942516082424,0,1,37,59,50
10,1,********,0,1,1,4,2,1,1.0,0,0,58,54,52
11,1,********,0,1,1,0,2,1,1.0,1,0,40,52,43
12,0,********,2,1,1,1,1,0,1.0,0,0,66,82,74
13,1,********,4,1,0,2,2,1,1.0,0,2,80,73,71
14,0,********,3,1,1,0,2,1,2.0,0,1,48,53,58
15,0,********,5,1,1,1,2,1,0.0,0,3,69,75,78
16,1,********,2,1,2,1,2,1,0.0,1,0,88,89,86
17,0,********,5,0,1,0,2,1,1.0,1,0,18,32,28
18,1,********,3,0,0,2,2,0,1.0,0,0,46,42,47
19,0,********,0,0,1,1,0,1,3.0,0,1,50,56,58
20,1,********,2,1,1,1,2,1,5.0,1,0,66,69,63
21,0,********,4,0,0,1,2,0,2.0,1,0,65,75,70
22,1,********,6,1,1,1,0,1,5.0,2,0,42,53,51
23,0,********,5,1,1,0,0,0,3.0,2,0,66,71,71
24,1,********,6,0,0,1,2,1,2.0,1,0,74,71,80
25,1,********,3,0,1,1,1,1,1.0,1,0,75,76,76
26,1,********,4,1,1,1,2,1,5.0,1,1,66,53,53
27,0,********,1,1,1,1,2,1,4.0,1,2,69,70,76
28,1,********,2,1,1,1,2,0,1.0,0,0,70,70,65
30,0,********,4,1,1,2,2,1,0.0,0,1,66,72,72
31,0,********,4,1,1,2,2,1,5.0,2,0,63,65,61
32,0,********,3,0,1,0,2,1,1.0,1,0,56,73,66
33,1,********,4,1,1,1,2,0,2.0,0,0,40,42,38
34,1,********,4,1,1,0,2,1,0.0,1,3,97,87,82
35,1,********,0,1,0,2,2,0,2.1458942516082424,1,0,81,81,79
36,0,********,0,1,1,1,1,0,2.0,0,0,76,82,85
37,0,********,5,0,1,1,1,1,1.0,0,0,51,64,60
38,0,********,0,0,0,1,1,0,1.0,1,0,77,91,90
39,1,********,0,0,1,2,1,1,5.0,1,0,58,56,58
40,1,********,0,0,1,1,0,1,0.0,1,0,53,60,52
41,0,********,0,1,1,0,1,0,1.0,2,0,59,74,69
43,1,********,4,0,2,1,1,1,3.0,1,0,60,65,67
44,0,********,0,0,1,1,2,1,5.0,1,1,48,55,52
45,1,********,0,1,1,2,2,1,3.0,1,1,63,53,55
